numero,edad,identidad_genero,tipo_victima,lugar_hecho,modalidad_comisiva,fecha_hecho
1032,38,MUJER,PRINCIPAL,Salta,DISPARO DE BALA,01/12/2017
1031,34,MUJER,PRINCIPAL,Formosa,ACUCHILLAMIENTO,01/12/2017
1029,36,S/D,PRINCIPAL,Ciudad de Buenos Aires,ASFIXIA,28/03/2014
1030,36,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO,15/11/2015
1028,44,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO,25/11/2017
1027,26,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,11/11/2017
1026,22,MUJER,PRINCIPAL,Santa Fe,GOLPES,07/11/2017
1025,30,MUJER,PRINCIPAL,Chubut,AHORCAMIENTO,24/01/2016
1024,23,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,29/10/2017
1023,54,MUJER,PRINCIPAL,Entre Rios,DISPARO DE BALA,28/10/2017
1022,27,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO,25/10/2017
1020,22,MUJER,PRINCIPAL,Chaco,GOLPES,24/10/2017
1021,2,MUJER,VINCULADO,Santa Fe,ACUCHILLAMIENTO,24/10/2017
1021,33,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO,24/10/2017
1019,37,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,23/10/2017
1018,20,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO,20/10/2017
1017,36,MUJER,PRINCIPAL,Neuquen,APUÑALAMIENTO,28/09/2017
1016,26,TRANS FEMENINA,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,18/10/2017
1015,43,MUJER,PRINCIPAL,Córdoba,GOLPES,17/10/2017
1014,29,MUJER,PRINCIPAL,Catamarca,AHORCAMIENTO,09/10/2017
1013,20,HOMBRE,VINCULADO,Santiago del Estero,DESCUARTIZAMIENTO,06/10/2017
1013,62,MUJER,PRINCIPAL,Santiago del Estero,DESCUARTIZAMIENTO,06/10/2017
1012,25,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,06/10/2017
1011,51,MUJER,PRINCIPAL,Ciudad de Buenos Aires,DISPARO DE BALA,30/09/2017
1010,35,MUJER,PRINCIPAL,Córdoba,DEGOLLAMIENTO,29/10/2017
1009,40,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,30/09/2017
1008,25,MUJER,PRINCIPAL,Salta,GOLPES,21/09/2017
1007,39,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,21/09/2017
1006,31,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,17/09/2017
1005,43,TRANS FEMENINA,PRINCIPAL,Buenos Aires,GOLPES,09/09/2017
1004,13,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,07/09/2017
1003,S/D,MUJER,PRINCIPAL,Tucuman,DISPARO DE BALA,01/09/2017
1002,47,MUJER,PRINCIPAL,Catamarca,DISPARO DE BALA,12/09/2017
1001,22,MUJER,PRINCIPAL,Santiago del Estero,ESTRANGULAMIENTO,11/09/2017
1000,31,TRANSGENERO,PRINCIPAL,Tucuman,ASFIXIA,12/08/2017
999,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,09/09/2017
998,19,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,09/09/2017
997,21,MUJER,PRINCIPAL,Jujuy,ESTRANGULAMIENTO,03/02/2015
996,51,MUJER,PRINCIPAL,Jujuy,GOLPES,19/05/2015
995,0,MUJER,PRINCIPAL,Buenos Aires,GOLPES - ESTRANGULAMIENTO - ABUSO SEXUAL,05/09/2017
994,20,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO,27/08/2017
993,23,MUJER,PRINCIPAL,Buenos Aires,GOLPES,25/12/2015
